"","temp_bin","q","data","spp"
"162",17.5,4.03050168609918,"Lewis","Silver Hake"
"163",23.5,0,"Lewis","Silver Hake"
"164",10,0,"Lewis","Silver Hake"
"165",9.5,0,"Lewis","Silver Hake"
"166",19,0.417019107539179,"Lewis","Silver Hake"
"167",18.5,0,"Lewis","Silver Hake"
"168",15,0.458659782007114,"Lewis","Silver Hake"
"169",11,0,"Lewis","Silver Hake"
"170",16.5,7.08725810351414,"Lewis","Silver Hake"
"171",26,0,"Lewis","Silver Hake"
"172",18,2.44011290567804,"Lewis","Silver Hake"
"173",14,0,"Lewis","Silver Hake"
"174",6,0,"Lewis","Silver Hake"
"175",16,4.33488049960598,"Lewis","Silver Hake"
"176",5.5,0,"Lewis","Silver Hake"
"177",14.5,10.9462157554011,"Lewis","Silver Hake"
"178",27,0,"Lewis","Silver Hake"
"179",7,0,"Lewis","Silver Hake"
"180",25,0,"Lewis","Silver Hake"
"181",15.5,1.56274523418239,"Lewis","Silver Hake"
"182",17,2.00472291234418,"Lewis","Silver Hake"
"183",12,0.752287773292043,"Lewis","Silver Hake"
"184",7.5,0,"Lewis","Silver Hake"
"185",24,0,"Lewis","Silver Hake"
"186",6.5,0,"Lewis","Silver Hake"
"187",21.5,0.352996570544728,"Lewis","Silver Hake"
"188",11.5,0.348817194026439,"Lewis","Silver Hake"
"189",12.5,2.04588517832788,"Lewis","Silver Hake"
"190",4,0,"Lewis","Silver Hake"
"191",23,0.247088413938412,"Lewis","Silver Hake"
"192",3.5,0,"Lewis","Silver Hake"
"193",21,0,"Lewis","Silver Hake"
"194",24.5,0,"Lewis","Silver Hake"
"195",20.5,0,"Lewis","Silver Hake"
"196",19.5,0,"Lewis","Silver Hake"
"197",2,0,"Lewis","Silver Hake"
"198",26.5,0,"Lewis","Silver Hake"
"199",8,0,"Lewis","Silver Hake"
"200",24.5,0,"Lewis","Silver Hake"
"201",14,2.05165484058106,"Lewis","Silver Hake"
"202",12.5,2.45348990444434,"Lewis","Silver Hake"
"203",3.5,0,"Lewis","Silver Hake"
"204",10,0,"Lewis","Silver Hake"
"205",11,0,"Lewis","Silver Hake"
"206",15.5,0.553124266659755,"Lewis","Silver Hake"
"207",10.5,0,"Lewis","Silver Hake"
"208",16,1.49941079569957,"Lewis","Silver Hake"
"209",9.5,0,"Lewis","Silver Hake"
"210",17.5,2.52319455643869,"Lewis","Silver Hake"
"211",22,0,"Lewis","Silver Hake"
"212",13.5,0.076093813859905,"Lewis","Silver Hake"
"213",19,0,"Lewis","Silver Hake"
"214",11.5,0.120528157719704,"Lewis","Silver Hake"
"215",4.5,0,"Lewis","Silver Hake"
"216",13,1.54328555196691,"Lewis","Silver Hake"
"217",5,0,"Lewis","Silver Hake"
"218",7,0,"Lewis","Silver Hake"
"219",18,2.84560315224641,"Lewis","Silver Hake"
"220",25,0,"Lewis","Silver Hake"
"221",23,0,"Lewis","Silver Hake"
"222",16.5,11.7573273853027,"Lewis","Silver Hake"
"223",4,0,"Lewis","Silver Hake"
"224",17,0.238542267036813,"Lewis","Silver Hake"
"225",20.5,0,"Lewis","Silver Hake"
"226",12,0,"Lewis","Silver Hake"
"227",26,0,"Lewis","Silver Hake"
"228",21,0,"Lewis","Silver Hake"
"229",18.5,4.10620945490103,"Lewis","Silver Hake"
"230",6,0,"Lewis","Silver Hake"
"231",15,1.54853688351398,"Lewis","Silver Hake"
"232",8.5,0,"Lewis","Silver Hake"
"233",5.5,0,"Lewis","Silver Hake"
"234",20,0,"Lewis","Silver Hake"
"235",6.5,0,"Lewis","Silver Hake"
"236",21.5,0.261369158346744,"Lewis","Silver Hake"
"237",25.5,0,"Lewis","Silver Hake"
"238",7.5,0,"Lewis","Silver Hake"
"239",24,0,"Lewis","Silver Hake"
"240",2.5,0,"Lewis","Silver Hake"
"241",23.5,0,"Lewis","Silver Hake"
"242",9,1.21972273895147,"Lewis","Silver Hake"
"243",14.5,8.00218098571112,"Lewis","Silver Hake"
"244",3,0,"Lewis","Silver Hake"
"245",27,0,"Lewis","Silver Hake"
"246",5,0,"Lewis","Silver Hake"
"247",8.5,0.370780139844825,"Lewis","Silver Hake"
"248",24,0,"Lewis","Silver Hake"
"249",25.5,0,"Lewis","Silver Hake"
"250",15.5,1.74966900666094,"Lewis","Silver Hake"
"251",12,1.15362950989947,"Lewis","Silver Hake"
"252",6,0,"Lewis","Silver Hake"
"253",16,0.403651642301244,"Lewis","Silver Hake"
"254",10.5,0,"Lewis","Silver Hake"
"255",26.5,0,"Lewis","Silver Hake"
"256",26,0,"Lewis","Silver Hake"
"257",21,0,"Lewis","Silver Hake"
"258",18.5,1.87016298605943,"Lewis","Silver Hake"
"259",23.5,0,"Lewis","Silver Hake"
"260",7.5,0,"Lewis","Silver Hake"
"261",18,0,"Lewis","Silver Hake"
"262",12.5,0,"Lewis","Silver Hake"
"263",19,0.545211930330529,"Lewis","Silver Hake"
"264",9,2.04068467944671,"Lewis","Silver Hake"
"265",17.5,1.80768156821854,"Lewis","Silver Hake"
"266",23,0,"Lewis","Silver Hake"
"267",7,0,"Lewis","Silver Hake"
"268",22.5,0,"Lewis","Silver Hake"
"269",15,2.63104668892984,"Lewis","Silver Hake"
"270",4.5,0,"Lewis","Silver Hake"
"271",21.5,0.357119818903174,"Lewis","Silver Hake"
"272",10,0,"Lewis","Silver Hake"
"273",17,7.33910499962326,"Lewis","Silver Hake"
"274",9.5,0,"Lewis","Silver Hake"
"275",5.5,0,"Lewis","Silver Hake"
"276",16.5,2.15963169172775,"Lewis","Silver Hake"
"277",22,0,"Lewis","Silver Hake"
"278",11.5,0,"Lewis","Silver Hake"
"279",13,2.42763417877349,"Lewis","Silver Hake"
"280",20,0,"Lewis","Silver Hake"
"281",14.5,18.3594713455796,"Lewis","Silver Hake"
"282",14,3.1492460532785,"Lewis","Silver Hake"
"283",3.5,0,"Lewis","Silver Hake"
"284",27,0,"Lewis","Silver Hake"
"285",11,0,"Lewis","Silver Hake"
"286",19.5,0,"Lewis","Silver Hake"
"287",3,0,"Lewis","Silver Hake"
"288",20.5,0,"Lewis","Silver Hake"
"289",4,0,"Lewis","Silver Hake"
"290",25,0,"Lewis","Silver Hake"
"291",6.5,0,"Lewis","Silver Hake"
"292",8,0,"Lewis","Silver Hake"
"293",13.5,0,"Lewis","Silver Hake"
"294",2,0,"Lewis","Silver Hake"
"295",2.5,0,"Lewis","Silver Hake"
"296",24.5,0,"Lewis","Silver Hake"
"297",6,0,"Lewis","Silver Hake"
"298",26,0,"Lewis","Silver Hake"
"299",23,0,"Lewis","Silver Hake"
"300",4.5,0,"Lewis","Silver Hake"
"301",17,6.36219584402402,"Lewis","Silver Hake"
"302",15.5,1.91431471508726,"Lewis","Silver Hake"
"303",11,0,"Lewis","Silver Hake"
"304",12.5,1.61484619505456,"Lewis","Silver Hake"
"305",5,0,"Lewis","Silver Hake"
"306",13,1.32218436979384,"Lewis","Silver Hake"
"307",5.5,0,"Lewis","Silver Hake"
"308",12,0,"Lewis","Silver Hake"
"309",14.5,0.265599007528125,"Lewis","Silver Hake"
"310",20,0,"Lewis","Silver Hake"
"311",11.5,0.169431605978255,"Lewis","Silver Hake"
"312",9.5,0,"Lewis","Silver Hake"
"313",15,0.881805622127612,"Lewis","Silver Hake"
"314",23.5,0,"Lewis","Silver Hake"
"315",16.5,8.38848184831775,"Lewis","Silver Hake"
"316",8.5,0,"Lewis","Silver Hake"
"317",9,0,"Lewis","Silver Hake"
"318",2,0,"Lewis","Silver Hake"
"319",19,0,"Lewis","Silver Hake"
"320",4,0,"Lewis","Silver Hake"
"321",13.5,0.15450982603547,"Lewis","Silver Hake"
"322",10,0,"Lewis","Silver Hake"
"323",17.5,1.60694967746148,"Lewis","Silver Hake"
"324",10.5,0.0788338455465644,"Lewis","Silver Hake"
"325",22,0,"Lewis","Silver Hake"
"326",21.5,0.696563002227423,"Lewis","Silver Hake"
"327",8,0,"Lewis","Silver Hake"
"328",3.5,0,"Lewis","Silver Hake"
"329",25.5,0,"Lewis","Silver Hake"
"330",14,0,"Lewis","Silver Hake"
"331",7,0,"Lewis","Silver Hake"
"332",20.5,0,"Lewis","Silver Hake"
"333",21,0,"Lewis","Silver Hake"
"334",3,0,"Lewis","Silver Hake"
"335",18.5,1.62810499901317,"Lewis","Silver Hake"
"336",2.5,0,"Lewis","Silver Hake"
"337",6.5,0,"Lewis","Silver Hake"
"338",16,5.09957613180327,"Lewis","Silver Hake"
"339",25,0,"Lewis","Silver Hake"
"340",18,1.73341415964136,"Lewis","Silver Hake"
"341",7.5,0,"Lewis","Silver Hake"
"342",24.5,0,"Lewis","Silver Hake"
"343",24,0,"Lewis","Silver Hake"
"344",26.5,0,"Lewis","Silver Hake"
"345",19.5,0,"Lewis","Silver Hake"
"346",9.5,0,"Lewis","Silver Hake"
"347",10.5,0,"Lewis","Silver Hake"
"348",9,0.46615811820855,"Lewis","Silver Hake"
"349",14,0.324527564261034,"Lewis","Silver Hake"
"350",17.5,6.66661300800855,"Lewis","Silver Hake"
"351",10,0,"Lewis","Silver Hake"
"352",17,2.53355663590286,"Lewis","Silver Hake"
"353",4,0,"Lewis","Silver Hake"
"354",5,0,"Lewis","Silver Hake"
"355",15,1.36384977875385,"Lewis","Silver Hake"
"356",16,3.44543776841306,"Lewis","Silver Hake"
"357",5.5,0,"Lewis","Silver Hake"
"358",12,2.32467704195149,"Lewis","Silver Hake"
"359",6,0,"Lewis","Silver Hake"
"360",11.5,0.130653954442754,"Lewis","Silver Hake"
"361",6.5,0,"Lewis","Silver Hake"
"362",18.5,0.663956904432013,"Lewis","Silver Hake"
"363",16.5,9.3229925433629,"Lewis","Silver Hake"
"364",3.5,0,"Lewis","Silver Hake"
"365",15.5,1.22691288325217,"Lewis","Silver Hake"
"366",13,2.36772661680244,"Lewis","Silver Hake"
"367",3,0,"Lewis","Silver Hake"
"368",22.5,0,"Lewis","Silver Hake"
"369",13.5,0.194432695205955,"Lewis","Silver Hake"
"370",14.5,0.148544686848345,"Lewis","Silver Hake"
"371",25.5,0,"Lewis","Silver Hake"
"372",27,0,"Lewis","Silver Hake"
"373",7.5,0,"Lewis","Silver Hake"
"374",19,0.429549604007316,"Lewis","Silver Hake"
"375",21.5,0.303002776835557,"Lewis","Silver Hake"
"376",18,1.8850746526081,"Lewis","Silver Hake"
"377",12.5,0.182753724006692,"Lewis","Silver Hake"
"378",7,0,"Lewis","Silver Hake"
"379",25,0,"Lewis","Silver Hake"
"380",4.5,0,"Lewis","Silver Hake"
"381",23,0.356318019535584,"Lewis","Silver Hake"
"382",26,0,"Lewis","Silver Hake"
"383",11,0,"Lewis","Silver Hake"
"384",8.5,0.209728697991825,"Lewis","Silver Hake"
"385",20.5,0,"Lewis","Silver Hake"
"386",23.5,0,"Lewis","Silver Hake"
"387",8,0,"Lewis","Silver Hake"
"388",24,0,"Lewis","Silver Hake"
"389",21,0,"Lewis","Silver Hake"
"390",22,0,"Lewis","Silver Hake"
"391",24.5,0,"Lewis","Silver Hake"
"392",20,0,"Lewis","Silver Hake"
"393",26.5,0,"Lewis","Silver Hake"
"394",19.5,0,"Lewis","Silver Hake"
"395",2.5,0,"Lewis","Silver Hake"
"396",11,0,"Lewis","Silver Hake"
"397",8.5,0,"Lewis","Silver Hake"
"398",16.5,6.06984229999218,"Lewis","Silver Hake"
"399",9.5,0,"Lewis","Silver Hake"
"400",17.5,3.96457538851114,"Lewis","Silver Hake"
"401",16,4.97459267236617,"Lewis","Silver Hake"
"402",25,0,"Lewis","Silver Hake"
"403",9,1.305121957362,"Lewis","Silver Hake"
"404",10,0,"Lewis","Silver Hake"
"405",12.5,1.7423972448614,"Lewis","Silver Hake"
"406",5,0,"Lewis","Silver Hake"
"407",19,0.701532767973639,"Lewis","Silver Hake"
"408",10.5,0.0800083871453048,"Lewis","Silver Hake"
"409",14.5,7.32089619265882,"Lewis","Silver Hake"
"410",21,0,"Lewis","Silver Hake"
"411",11.5,0,"Lewis","Silver Hake"
"412",7,0,"Lewis","Silver Hake"
"413",15.5,0.294211099167799,"Lewis","Silver Hake"
"414",4.5,0,"Lewis","Silver Hake"
"415",21.5,0.363569688122273,"Lewis","Silver Hake"
"416",14,2.24428676697117,"Lewis","Silver Hake"
"417",13.5,0,"Lewis","Silver Hake"
"418",4,0,"Lewis","Silver Hake"
"419",18,1.97914523872299,"Lewis","Silver Hake"
"420",22,0,"Lewis","Silver Hake"
"421",5.5,0,"Lewis","Silver Hake"
"422",6,0,"Lewis","Silver Hake"
"423",7.5,0,"Lewis","Silver Hake"
"424",22.5,0,"Lewis","Silver Hake"
"425",13,2.63748065190341,"Lewis","Silver Hake"
"426",20.5,0,"Lewis","Silver Hake"
"427",6.5,0,"Lewis","Silver Hake"
"428",23.5,0,"Lewis","Silver Hake"
"429",25.5,0,"Lewis","Silver Hake"
"430",15,0.509924699187887,"Lewis","Silver Hake"
"431",17,2.96046055471695,"Lewis","Silver Hake"
"432",27,0,"Lewis","Silver Hake"
"433",12,0,"Lewis","Silver Hake"
"434",18.5,1.48712584999522,"Lewis","Silver Hake"
"435",23,1.24699767346856,"Lewis","Silver Hake"
"436",26,0,"Lewis","Silver Hake"
"437",3.5,0,"Lewis","Silver Hake"
"438",2.5,0,"Lewis","Silver Hake"
"439",8,0,"Lewis","Silver Hake"
"440",24,0,"Lewis","Silver Hake"
"441",20,0,"Lewis","Silver Hake"
"442",24.5,0,"Lewis","Silver Hake"
"443",3,0,"Lewis","Silver Hake"
"444",2,0,"Lewis","Silver Hake"
"445",14,0,"Lewis","Silver Hake"
"446",4,0,"Lewis","Silver Hake"
"447",26,0,"Lewis","Silver Hake"
"448",24.5,0,"Lewis","Silver Hake"
"449",11.5,0.182964343822253,"Lewis","Silver Hake"
"450",20,0,"Lewis","Silver Hake"
"451",19,0.410134029436979,"Lewis","Silver Hake"
"452",8,0,"Lewis","Silver Hake"
"453",9.5,0,"Lewis","Silver Hake"
"454",17.5,6.68143803461992,"Lewis","Silver Hake"
"455",6.5,0,"Lewis","Silver Hake"
"456",10.5,0.0566696545248824,"Lewis","Silver Hake"
"457",16.5,13.3523921191482,"Lewis","Silver Hake"
"458",8.5,0.240298792577613,"Lewis","Silver Hake"
"459",11,0,"Lewis","Silver Hake"
"460",15,0.695601767987827,"Lewis","Silver Hake"
"461",12,0.493244890027732,"Lewis","Silver Hake"
"462",17,3.30305445586947,"Lewis","Silver Hake"
"463",25.5,0,"Lewis","Silver Hake"
"464",21,0,"Lewis","Silver Hake"
"465",13,1.56510397797261,"Lewis","Silver Hake"
"466",13.5,0.173268076753331,"Lewis","Silver Hake"
"467",5,0,"Lewis","Silver Hake"
"468",27,0,"Lewis","Silver Hake"
"469",22,0,"Lewis","Silver Hake"
"470",3.5,0,"Lewis","Silver Hake"
"471",4.5,0,"Lewis","Silver Hake"
"472",5.5,0,"Lewis","Silver Hake"
"473",12.5,1.54297119444573,"Lewis","Silver Hake"
"474",10,0,"Lewis","Silver Hake"
"475",15.5,0,"Lewis","Silver Hake"
"476",20.5,0,"Lewis","Silver Hake"
"477",21.5,0.43396064843786,"Lewis","Silver Hake"
"478",6,0,"Lewis","Silver Hake"
"479",23,0,"Lewis","Silver Hake"
"480",7.5,0,"Lewis","Silver Hake"
"481",14.5,10.6948771828128,"Lewis","Silver Hake"
"482",16,0,"Lewis","Silver Hake"
"483",9,0,"Lewis","Silver Hake"
"484",3,0,"Lewis","Silver Hake"
"485",23.5,0,"Lewis","Silver Hake"
"486",25,0,"Lewis","Silver Hake"
"487",18.5,2.02311709014122,"Lewis","Silver Hake"
"488",7,0,"Lewis","Silver Hake"
"489",19.5,0,"Lewis","Silver Hake"
"490",24,0,"Lewis","Silver Hake"
"491",18,0,"Lewis","Silver Hake"
"492",26.5,0,"Lewis","Silver Hake"
"493",22.5,0,"Lewis","Silver Hake"
"494",2,0,"Lewis","Silver Hake"
"495",21.5,0,"Lewis","Silver Hake"
"496",10,0,"Lewis","Silver Hake"
"497",17,7.81531294976047,"Lewis","Silver Hake"
"498",15,0.942832638552732,"Lewis","Silver Hake"
"499",11,0,"Lewis","Silver Hake"
"500",13.5,0.12138514180151,"Lewis","Silver Hake"
"501",15.5,0.904218046657493,"Lewis","Silver Hake"
"502",4.5,0,"Lewis","Silver Hake"
"503",10.5,0,"Lewis","Silver Hake"
"504",8.5,0,"Lewis","Silver Hake"
"505",25,0,"Lewis","Silver Hake"
"506",16.5,4.41239420563152,"Lewis","Silver Hake"
"507",12,0,"Lewis","Silver Hake"
"508",5.5,0,"Lewis","Silver Hake"
"509",23,0.0893775633520241,"Lewis","Silver Hake"
"510",12.5,2.71335662958353,"Lewis","Silver Hake"
"511",6,0,"Lewis","Silver Hake"
"512",13,2.11632906248305,"Lewis","Silver Hake"
"513",16,3.07991830674256,"Lewis","Silver Hake"
"514",9,0.486426590138897,"Lewis","Silver Hake"
"515",19,0.301690808638059,"Lewis","Silver Hake"
"516",11.5,0,"Lewis","Silver Hake"
"517",22.5,0,"Lewis","Silver Hake"
"518",26,0,"Lewis","Silver Hake"
"519",8,0,"Lewis","Silver Hake"
"520",6.5,0,"Lewis","Silver Hake"
"521",17.5,5.70953177933525,"Lewis","Silver Hake"
"522",18.5,1.09170682798542,"Lewis","Silver Hake"
"523",18,0,"Lewis","Silver Hake"
"524",19.5,0,"Lewis","Silver Hake"
"525",9.5,0,"Lewis","Silver Hake"
"526",25.5,0,"Lewis","Silver Hake"
"527",22,0,"Lewis","Silver Hake"
"528",20.5,0,"Lewis","Silver Hake"
"529",7,0,"Lewis","Silver Hake"
"530",5,0,"Lewis","Silver Hake"
"531",2.5,0,"Lewis","Silver Hake"
"532",27,0,"Lewis","Silver Hake"
"533",4,0,"Lewis","Silver Hake"
"534",23.5,0,"Lewis","Silver Hake"
"535",24,0,"Lewis","Silver Hake"
"536",3.5,0,"Lewis","Silver Hake"
"537",14,0.855307471185334,"Lewis","Silver Hake"
"538",26.5,0,"Lewis","Silver Hake"
"539",14.5,14.2299713131617,"Lewis","Silver Hake"
"540",20,0,"Lewis","Silver Hake"
"541",7.5,0,"Lewis","Silver Hake"
"542",3,0,"Lewis","Silver Hake"
"543",21,0,"Lewis","Silver Hake"
"544",2,0,"Lewis","Silver Hake"
"545",11.5,0.543454607266088,"Lewis","Silver Hake"
"546",11,0,"Lewis","Silver Hake"
"547",15.5,1.78143801527925,"Lewis","Silver Hake"
"548",22.5,0,"Lewis","Silver Hake"
"549",5.5,0,"Lewis","Silver Hake"
"550",17.5,5.4140934799143,"Lewis","Silver Hake"
"551",7.5,0,"Lewis","Silver Hake"
"552",16.5,1.91454721575065,"Lewis","Silver Hake"
"553",24.5,0,"Lewis","Silver Hake"
"554",10.5,0.0887972815518923,"Lewis","Silver Hake"
"555",18,2.13844379160982,"Lewis","Silver Hake"
"556",8.5,0.237917915623402,"Lewis","Silver Hake"
"557",9.5,0,"Lewis","Silver Hake"
"558",12,1.36740191505661,"Lewis","Silver Hake"
"559",10,0,"Lewis","Silver Hake"
"560",9,1.23389817778777,"Lewis","Silver Hake"
"561",19,0,"Lewis","Silver Hake"
"562",23.5,0,"Lewis","Silver Hake"
"563",26,0,"Lewis","Silver Hake"
"564",15,0.232025211830872,"Lewis","Silver Hake"
"565",4.5,0,"Lewis","Silver Hake"
"566",25,0,"Lewis","Silver Hake"
"567",14,0.884087669795325,"Lewis","Silver Hake"
"568",18.5,2.1000430052285,"Lewis","Silver Hake"
"569",3,0,"Lewis","Silver Hake"
"570",17,3.28775428401164,"Lewis","Silver Hake"
"571",12.5,1.22068586708884,"Lewis","Silver Hake"
"572",16,0.156900604355854,"Lewis","Silver Hake"
"573",14.5,18.0444460406124,"Lewis","Silver Hake"
"574",13,1.39870690395442,"Lewis","Silver Hake"
"575",24,0,"Lewis","Silver Hake"
"576",13.5,0,"Lewis","Silver Hake"
"577",22,0,"Lewis","Silver Hake"
"578",20,0,"Lewis","Silver Hake"
"579",23,0.336841680540501,"Lewis","Silver Hake"
"580",5,0,"Lewis","Silver Hake"
"581",20.5,0,"Lewis","Silver Hake"
