,Specimen Page,Sequence Length,Genus,Species,Genus species,% Match,Notes,Common_Name,Cruise ID,Haul ID,Station ID,Latitude,Longitude,SST,Depth,Stage,Picture file(s),Day,Month,Year,Time
CCDB-39382 C04,CCDB-39382 C04,652,Merluccius,bilinearis,Merluccius bilinearis,100,,Silver Hake,2105,E14,5.2,40.16.080,73.00.728,15.9,41,Egg,https://drive.google.com/file/d/1HCC-TMNP92ngDQU-qcJ2UxSlCcACz2sO/view?usp=sharing,,,,
CCDB-39382 C05,CCDB-39382 C05,652,Citharichthys,arctifrons,Citharichthys arctifrons,100,,Gulfstream Flounder,2105,E16,5.4,39.38.577,72.46.880,15.6,66.88,Egg,https://drive.google.com/file/d/1nyU2WJy3M3fq77Pj07BbFFnVTs_sd4cx/view?usp=sharing,,,,
CCDB-39382 C06,CCDB-39382 C06,652,Citharichthys,arctifrons,Citharichthys arctifrons,99.54,,Gulfstream Flounder,2105,E16,5.4,39.38.577,72.46.880,15.6,66.88,Egg,https://drive.google.com/file/d/1EZIflUDgrIECxZ3sRvUecBZdj5oLs-Po/view?usp=sharing,,,,
CCDB-39382 C07,CCDB-39382 C07,652,Citharichthys,arctifrons,Citharichthys arctifrons,100,,Gulfstream Flounder,2105,E16,5.4,39.38.577,72.46.880,15.6,66.88,Egg,https://drive.google.com/file/d/1v_lze7HVrPMKJ-BfAXqahf9WeUBoK1fw/view?usp=sharing,,,,
CCDB-39382 C08,CCDB-39382 C08,652,Citharichthys,arctifrons,Citharichthys arctifrons,100,,Gulfstream Flounder,2105,E16,5.4,39.38.577,72.46.880,15.6,66.88,Egg,https://drive.google.com/file/d/17vl3amhBD9x-ZNFrIXyrYcRjzXWf1Uyl/view?usp=sharing,,,,
CCDB-39382 C09,CCDB-39382 C09,652,Paralichthys,oblongus,Paralichthys oblongus,100,,Fourspot Flounder,2105,E16,5.4,39.38.577,72.46.880,15.6,66.88,Egg,https://drive.google.com/file/d/1FNBMGr18--0wX9rGqgcOyvgCoVgQt6wU/view?usp=sharing,,,,
CCDB-39382 C10,CCDB-39382 C10,652,Citharichthys,arctifrons,Citharichthys arctifrons,100,,Gulfstream Flounder,2105,E16,5.4,39.38.577,72.46.880,15.6,66.88,Egg,https://drive.google.com/file/d/1hkP1jxWj5-MHC2KZ_NQ93mdKkfqDtQ52/view?usp=sharing,,,,
CCDB-39382 C11,CCDB-39382 C11,652,Citharichthys,arctifrons,Citharichthys arctifrons,99.85,,Gulfstream Flounder,2105,E16,5.4,39.38.577,72.46.880,15.6,66.88,Egg,https://drive.google.com/file/d/1OYHG955FHldRfDeueRblrSOZvDW6-7D0/view?usp=sharing,,,,
CCDB-39382 C12,CCDB-39382 C12,652,Citharichthys,arctifrons,Citharichthys arctifrons,100,,Gulfstream Flounder,2105,E16,5.4,39.38.577,72.46.880,15.6,66.88,Egg,https://drive.google.com/file/d/1-qQpx3lu2_SBKQgstJhHEr9Bl-N-O_iH/view?usp=sharing,,,,
CCDB-39382 D01,CCDB-39382 D01,652,Paralichthys,oblongus,Paralichthys oblongus,100,,Fourspot Flounder,2105,E16,5.4,39.38.577,72.46.880,15.6,66.88,Egg,https://drive.google.com/file/d/1PY_VoZOxEpRzLgnFkbmpJl8MkyfJcOHe/view?usp=sharing,,,,
CCDB-39382 D02,CCDB-39382 D02,652,Citharichthys,arctifrons,Citharichthys arctifrons,99.39,,Gulfstream Flounder,2105,E17,5.5,39.19.785,72.40.022,14.6,113.6,Egg,https://drive.google.com/file/d/1cYN4wHceTkU2JHwOwrNMOz7jYWvG4rgn/view?usp=sharing,,,,
CCDB-39382 D03,CCDB-39382 D03,652,Paralichthys,oblongus,Paralichthys oblongus,100,,Fourspot Flounder,2105,E17,5.5,39.19.785,72.40.022,14.6,113.6,Egg,https://drive.google.com/file/d/1yQo8DLfqR8OS4CuefGOwQw5QygFDCEHl/view?usp=sharing,,,,
CCDB-39382 D04,CCDB-39382 D04,0,,,,,Clear with cloudy white ball inside,,2105,E18,5.6,,,,,Egg,https://drive.google.com/file/d/1mgLFsqYR_N1QvGbzdGc__fyttMP_KWc0/view?usp=share_link,,,,
CCDB-39382 D05,CCDB-39382 D05,0,,,,,Clear with cloudy white ball inside,,2105,E19,4.6,,,,,Egg,https://drive.google.com/file/d/1LygTwm9PERpBUXeozFaxvzMfiJ2ir1v1/view?usp=share_link,,,,
CCDB-39382 D06,CCDB-39382 D06,0,,,,,Clear with cloudy white ball inside,,2105,E19,4.6,,,,,Egg,https://drive.google.com/file/d/1YQasMCLRKdmvDvlm0iw5nP9M6ogy4b-k/view?usp=share_link,,,,
CCDB-39382 D07,CCDB-39382 D07,652,Citharichthys,arctifrons,Citharichthys arctifrons,99.85,,Gulfstream Flounder,2105,E19,4.6,39.14.406,72.17.433,16.333,525,Egg,https://drive.google.com/file/d/1oCNffg-dkXtc8R92oiQgbuxu6SmAOOZ8/view?usp=sharing,,,,
CCDB-39382 D08,CCDB-39382 D08,652,Paralichthys,oblongus,Paralichthys oblongus,99.85,,Fourspot Flounder,2105,E20,4.5,39.31.557,72.23.615,15.3,1088,Egg,https://drive.google.com/file/d/1b1DeKoNsm1dofOeO-7SlK5B1zwUqvU5A/view?usp=sharing,,,,
CCDB-39382 D09,CCDB-39382 D09,642,Paralichthys,oblongus,Paralichthys oblongus,99.69,,Fourspot Flounder,2105,E20,4.5,39.31.557,72.23.615,15.3,1088,Egg,https://drive.google.com/file/d/1yiJZAb5LIWudJBSYQepEI8P8N6x8vspk/view?usp=sharing,,,,
CCDB-39382 D10,CCDB-39382 D10,652,Citharichthys,arctifrons,Citharichthys arctifrons,100,,Gulfstream Flounder,2105,E20,4.5,39.31.557,72.23.615,15.3,1088,Egg,https://drive.google.com/file/d/1ErH7xHV_uGYu_ujpXcLtJ2Elh5sCeDda/view?usp=sharing,,,,
CCDB-39382 D11,CCDB-39382 D11,652,Citharichthys,arctifrons,Citharichthys arctifrons,100,,Gulfstream Flounder,2105,E20,4.5,39.31.557,72.23.615,15.3,1088,Egg,https://drive.google.com/file/d/14KXVg8XxJbv34wCMk9z8OFI_6qXgYcJc/view?usp=sharing,,,,
CCDB-39382 D12,CCDB-39382 D12,652,Caulolatilus,microps,Caulolatilus microps,100,,Grey Tilefish,2105,E20,4.5,39.31.557,72.23.615,15.3,1088,Egg,https://drive.google.com/file/d/1RGXcVkW9EmoV1uuYWY_aPBoiHL_DcmJs/view?usp=sharing,,,,
CCDB-39382 E01,CCDB-39382 E01,652,Citharichthys,arctifrons,Citharichthys arctifrons,100,,Gulfstream Flounder,2105,E20,4.5,39.31.557,72.23.615,15.3,1088,Egg,https://drive.google.com/file/d/1un5b9CqHljw_HlgkexkcmT_nGbG1Dw3s/view?usp=sharing,,,,
CCDB-39382 E02,CCDB-39382 E02,648,Paralichthys,oblongus,Paralichthys oblongus,99.84,,Fourspot Flounder,2105,E21,4.4,39.48.675,72.29.979,15.867,65.46,Egg,https://drive.google.com/file/d/1jq7YUMzJMoyUxUG4yiOW-A9piBOguK1a/view?usp=sharing,,,,
CCDB-39382 E03,CCDB-39382 E03,652,Paralichthys,oblongus,Paralichthys oblongus,99.85,,Fourspot Flounder,2105,E21,4.4,39.48.675,72.29.979,15.867,65.46,Egg,https://drive.google.com/file/d/12GjNsoeOFhUphvUnaQPXUaukzCqLCgW7/view?usp=sharing,,,,
CCDB-39382 E04,CCDB-39382 E04,0,,,,,Clear with cloudy white ball inside,,2105,E21,4.4,,,,,Egg,https://drive.google.com/file/d/135oIX7pMlXQhfkX3X1KdG0oCA73yanqd/view?usp=share_link,,,,
CCDB-39382 E05,CCDB-39382 E05,652,Citharichthys,arctifrons,Citharichthys arctifrons,99.69,,Gulfstream Flounder,2105,E21,4.4,39.48.675,72.29.979,15.867,65.46,Egg,https://drive.google.com/file/d/19FpT_K1ED2_86FmiYFZ7rfLoXYqYmw5U/view?usp=sharing,,,,
CCDB-39382 E06,CCDB-39382 E06,652,Citharichthys,arctifrons,Citharichthys arctifrons,100,,Gulfstream Flounder,2105,E22,4.3,40.05.861,72.36.442,15.8,54.37,Egg,https://drive.google.com/file/d/1HLX7UMUNmhNeryZLFZao7qdBJacqtbHi/view?usp=sharing,,,,
CCDB-39382 E07,CCDB-39382 E07,652,Paralichthys,oblongus,Paralichthys oblongus,100,,Fourspot Flounder,2105,E22,4.3,40.05.861,72.36.442,15.8,54.37,Egg,https://drive.google.com/file/d/1Y3ubfwwwxjRUXcOj7zzEjv-FVsUg1NW7/view?usp=sharing,,,,
CCDB-39382 E08,CCDB-39382 E08,652,Citharichthys,arctifrons,Citharichthys arctifrons,100,,Gulfstream Flounder,2105,E22,4.3,40.05.861,72.36.442,15.8,54.37,Egg,https://drive.google.com/file/d/1R1wnSvjfv2xf81K0KPUm40wX5vUU-IjP/view?usp=sharing,,,,
CCDB-39382 E09,CCDB-39382 E09,652,Citharichthys,arctifrons,Citharichthys arctifrons,99.85,,Gulfstream Flounder,2105,E22,4.3,40.05.861,72.36.442,15.8,54.37,Egg,https://drive.google.com/file/d/1pP6vpIKTlBPxYcIzmSOlJbvnWd3J2RYZ/view?usp=sharing,,,,
CCDB-39382 E10,CCDB-39382 E10,0,,,,,"Opaque/cloudy white, very small",,2105,E22,4.3,,,,,Egg,https://drive.google.com/file/d/1KvFqKhpJQkoBXa5zTFSdG7gHBkTJfzUF/view?usp=share_link,,,,
CCDB-39382 E11,CCDB-39382 E11,0,,,,,"Opaque/cloudy white, very small",,2105,E22,4.3,,,,,Egg,https://drive.google.com/file/d/1aDyq93vDLsRW523pwXGWR9db1enPa7I_/view?usp=share_link,,,,
CCDB-39382 E12,CCDB-39382 E12,652,Citharichthys,arctifrons,Citharichthys arctifrons,100,,Gulfstream Flounder,2105,E23,4.2,40.23.144,72.42.957,16,45.36,Egg,https://drive.google.com/file/d/1eZ-RxQOlKKyIYU7BKpEvg8H72g1QL8F9/view?usp=sharing,,,,
CCDB-39382 F01,CCDB-39382 F01,652,Paralichthys,oblongus,Paralichthys oblongus,100,,Fourspot Flounder,2105,E23,4.2,40.23.144,72.42.957,16,45.36,Egg,https://drive.google.com/file/d/1nvfjcDg4dvm0wkfV10J5Y-8RsBGbImw1/view?usp=sharing,,,,
CCDB-39382 F02,CCDB-39382 F02,652,Scophthalmus,"aquosus","Scophthalmus aquosus",100,,Windowpane Flounder,2105,E23,4.2,40.23.144,72.42.957,16,45.36,Egg,https://drive.google.com/file/d/1KLMwhnipg_qxF4YCmSTTk2e1w6SJcC48/view?usp=sharing,,,,
CCDB-39382 F03,CCDB-39382 F03,652,Scomber,scombrus,Scomber scombrus,100,,Atlantic Mackerel,2105,E23,4.2,40.23.144,72.42.957,16,45.36,Egg,https://drive.google.com/file/d/17B7buRO9FBwyL32BxFTNzcdxU1-W9MQ3/view?usp=sharing,,,,
CCDB-39382 F04,CCDB-39382 F04,652,Paralichthys,oblongus,Paralichthys oblongus,100,,Fourspot Flounder,2105,E24,4.1,40.40.360,73.49.377,14.956,26.21,Egg,https://drive.google.com/file/d/1wpr2owG82L15mN2MMyX4tJ_OoTKHEs2c/view?usp=sharing,,,,
CCDB-39382 F05,CCDB-39382 F05,652,Merluccius,bilinearis,Merluccius bilinearis,100,,Silver Hake,2105,E24,4.1,40.40.360,73.49.377,14.956,26.21,Egg,https://drive.google.com/file/d/1y2QDtFBPZcIBoQAKRygrBnH6awCELYkE/view?usp=sharing,,,,
CCDB-39382 F06,CCDB-39382 F06,652,Merluccius,bilinearis,Merluccius bilinearis,100,,Silver Hake,2105,E24,4.1,40.40.360,73.49.377,14.956,26.21,Egg,https://drive.google.com/file/d/1R4IPm5nsHxHKcIWInaFk5gJc-f_eKSR7/view?usp=sharing,,,,
CCDB-39382 F07,CCDB-39382 F07,652,Tautogolabrus,adspersus,Tautogolabrus adspersus,100,,Cunner,2105,E24,4.1,40.40.360,73.49.377,14.956,26.21,Egg,https://drive.google.com/file/d/1EszN0S1kP4odecbrSHgwfpAql3Cjq9eZ/view?usp=sharing,,,,
CCDB-39382 F08,CCDB-39382 F08,652,Scophthalmus,"aquosus","Scophthalmus aquosus",100,,Windowpane Flounder,2105,E24,4.1,40.40.360,73.49.377,14.956,26.21,Egg,https://drive.google.com/file/d/1N3FJOXYXIgh2Tpl9vtCwfXfUC2wVTnwO/view?usp=sharing,,,,
CCDB-39382 F09,CCDB-39382 F09,652,Scomber,scombrus,Scomber scombrus,100,,Atlantic Mackerel,2105,E24,4.1,40.40.360,73.49.377,14.956,26.21,Egg,https://drive.google.com/file/d/1je1Iwg53j2nTRk450PnQeb4-jY5_z6ig/view?usp=sharing,,,,
CCDB-39382 F10,CCDB-39382 F10,652,Merluccius,bilinearis,Merluccius bilinearis,99.85,,Silver Hake,2105,E24,4.1,40.40.360,73.49.377,14.956,26.21,Egg,https://drive.google.com/file/d/1MUHQd8YpChpirMnDQrXNBv2Du4nPNtp_/view?usp=sharing,,,,
CCDB-39382 F11,CCDB-39382 F11,652,Merluccius,bilinearis,Merluccius bilinearis,100,,Silver Hake,2105,E24,4.1,40.40.360,73.49.377,14.956,26.21,Egg,https://drive.google.com/file/d/13Pw5hq-9PPzLYr95gZ2Hul2cJWfhCts1/view?usp=sharing,,,,
CCDB-39382 F12,CCDB-39382 F12,652,Merluccius,bilinearis,Merluccius bilinearis,100,,Silver Hake,2105,E24,4.1,40.40.360,73.49.377,14.956,26.21,Egg,https://drive.google.com/file/d/1sAI1d73yMfXSENSfzTBF-U0cG-ECtVpA/view?usp=sharing,,,,
CCDB-39382 G01,CCDB-39382 G01,652,Merluccius,bilinearis,Merluccius bilinearis,100,,Silver Hake,2105,E24,4.1,40.40.360,73.49.377,14.956,26.21,Egg,https://drive.google.com/file/d/1SdtKv0P1oknmLCAIRMc0ZWkju_YSvLLY/view?usp=sharing,,,,
CCDB-39382 G02,CCDB-39382 G02,652,Merluccius,bilinearis,Merluccius bilinearis,100,,Silver Hake,2105,E24,4.1,40.40.360,73.49.377,14.956,26.21,Egg,https://drive.google.com/file/d/1Z1HieP_43WVNSG2_b_iYoB6M55hTqRk_/view?usp=sharing,,,,
CCDB-39382 G03,CCDB-39382 G03,652,Merluccius,bilinearis,Merluccius bilinearis,100,,Silver Hake,2105,E24,4.1,40.40.360,73.49.377,14.956,26.21,Egg,https://drive.google.com/file/d/1EO0746s3MknvYZ9SMDkHGjaBOdso4r-3/view?usp=sharing,,,,
CCDB-39382 G04,CCDB-39382 G04,652,Merluccius,bilinearis,Merluccius bilinearis,99.69,,Silver Hake,2105,E24,4.1,40.40.360,73.49.377,14.956,26.21,Egg,https://drive.google.com/file/d/1cQEFHg2hk7nz1w5N-zV44t6BNlBkduQ6/view?usp=sharing,,,,
CCDB-39382 G05,CCDB-39382 G05,652,Merluccius,bilinearis,Merluccius bilinearis,100,,Silver Hake,2105,E24,4.1,40.40.360,73.49.377,14.956,26.21,Egg,https://drive.google.com/file/d/1zxWANWUzz6BJw6kRRUBqF_YdmVndNC_e/view?usp=sharing,,,,
CCDB-39382 G06,CCDB-39382 G06,652,Merluccius,bilinearis,Merluccius bilinearis,100,,Silver Hake,2105,E24,4.1,40.40.360,73.49.377,14.956,26.21,Egg,https://drive.google.com/file/d/18jae5JL1xJWOEFfCEKDnQ-sffpC4cdZD/view?usp=sharing,,,,
CCDB-39382 G07,CCDB-39382 G07,652,Merluccius,bilinearis,Merluccius bilinearis,100,,Silver Hake,2105,E24,4.1,40.40.360,73.49.377,14.956,26.21,Egg,https://drive.google.com/file/d/1ytJt7bOTpJUg9Q_aQolbA2wQEBe-4heJ/view?usp=sharing,,,,
CCDB-39382 G08,CCDB-39382 G08,652,Peprilus,triacanthus,Peprilus triacanthus,99.85,99.39 percent match with perilus burti,Butterfish,2105,E24,4.1,40.40.360,73.49.377,14.956,26.21,Egg,https://drive.google.com/file/d/1xP8CTyhxypKia9nMiqW1SIuL6zwrxeq6/view?usp=sharing,,,,
CCDB-39382 G09,CCDB-39382 G09,652,Scomber,scombrus,Scomber scombrus,100,,Atlantic Mackerel,2105,E24,4.1,40.40.360,73.49.377,14.956,26.21,Egg,https://drive.google.com/file/d/1xP8CTyhxypKia9nMiqW1SIuL6zwrxeq6/view?usp=sharing,,,,
CCDB-39382 G10,CCDB-39382 G10,652,Paralichthys,oblongus,Paralichthys oblongus,99.85,,Fourspot Flounder,2105,E24,4.1,40.40.360,73.49.377,14.956,26.21,Egg,https://drive.google.com/file/d/1MswRHfowSx3vji_j2cOhUzfREwwMJ124/view?usp=sharing,,,,
CCDB-39382 G11,CCDB-39382 G11,652,Merluccius,bilinearis,Merluccius bilinearis,100,,Silver Hake,2105,E24,4.1,40.40.360,73.49.377,14.956,26.21,Egg,https://drive.google.com/file/d/1f4SJ-qAZTxqjf0yNPPtIZM4CCgmXMWTr/view?usp=sharing,,,,
CCDB-39382 G12,CCDB-39382 G12,652,Merluccius,bilinearis,Merluccius bilinearis,100,,Silver Hake,2105,E24,4.1,40.40.360,73.49.377,14.956,26.21,Egg,https://drive.google.com/file/d/1x8GPhDlAbQVafzsZfhMAn5qTjsrGSJLJ/view?usp=sharing,,,,
CCDB-39382 H01,CCDB-39382 H01,652,Merluccius,bilinearis,Merluccius bilinearis,99.84,,Silver Hake,2105,E24,4.1,40.40.360,73.49.377,14.956,26.21,Egg,https://drive.google.com/file/d/12tDjhf4LpAYdqFqrvOHcfS3b-EfNleva/view?usp=sharing,,,,
CCDB-39382 H02,CCDB-39382 H02,652,Merluccius,bilinearis,Merluccius bilinearis,100,,Silver Hake,2105,E24,4.1,40.40.360,73.49.377,14.956,26.21,Egg,https://drive.google.com/file/d/1HNv13r8Za5-DOC0DNQWf1WGiPi6Mm5-o/view?usp=sharing,,,,
CCDB-39382 H03,CCDB-39382 H03,652,Scophthalmus,"aquosus","Scophthalmus aquosus",100,,Windowpane Flounder,2105,E24,4.1,40.40.360,73.49.377,14.956,26.21,Egg,https://drive.google.com/file/d/1wapfs3XExi8LAQ3w17xOTV0x_cXDB759/view?usp=sharing,,,,
CCDB-39382 H04,CCDB-39382 H04,652,Merluccius,bilinearis,Merluccius bilinearis,100,,Silver Hake,2105,E24,4.1,40.40.360,73.49.377,14.956,26.21,Egg,https://drive.google.com/file/d/1W6VPbszpxcMoTWRrA-LaIHXbFxa5pXUw/view?usp=sharing,,,,
CCDB-39382 H05,CCDB-39382 H05,652,Paralichthys,oblongus,Paralichthys oblongus,100,,Fourspot Flounder,2105,E24,4.1,40.40.360,73.49.377,14.956,26.21,Egg,https://drive.google.com/file/d/1rb7keepGkyU1ItowzInNioTrRKV_WHIh/view?usp=sharing,,,,
CCDB-39382 H06,CCDB-39382 H06,652,Peprilus,triacanthus,Peprilus triacanthus,100,,Butterfish,2105,E24,4.1,40.40.360,73.49.377,14.956,26.21,Egg,https://drive.google.com/file/d/1T1qVl5wWiKS_b17316h_JAOkHCtBOM4y/view?usp=sharing,,,,
CCDB-39382 H07,CCDB-39382 H07,652,Peprilus,burti,Peprilus burti,99.85,,Butterfish,2105,E24,4.1,40.40.360,73.49.377,14.956,26.21,Egg,https://drive.google.com/file/d/1FK9_K6mKO2j6RrOnX61FIU_lFyH5e4sj/view?usp=sharing,,,,
CCDB-39382 H08,CCDB-39382 H08,652,Merluccius,bilinearis,Merluccius bilinearis,99.84,,Silver Hake,2105,E24,4.1,40.40.360,73.49.377,14.956,26.21,Egg,https://drive.google.com/file/d/1nTJ0EY4j-pG4ZuAqjnRPtPlfpexHDmSE/view?usp=sharing,,,,
